gwas,specificity_id,annotation,beta,beta_se,pvalue
SCZ_PGC3,mousebrain-zeisel2018,RGSZ,-0.1571946428046686,0.0823060076737976,0.9719157843759296
SCZ_PGC3,mousebrain-zeisel2018,ACNT2,-0.1360931205342685,0.0693186060457454,0.9751846519621092
SCZ_PGC3,mousebrain-zeisel2018,PSPEP8,-0.1823690804215206,0.0928105154638828,0.9752810550560004
SCZ_PGC3,mousebrain-zeisel2018,SATG1,-0.1712599537780427,0.0859554918542228,0.9768284116508876
SCZ_PGC3,mousebrain-zeisel2018,PSPEP7,-0.1829444127594146,0.0902345863346024,0.9786816461667062
SCZ_PGC3,mousebrain-zeisel2018,PSPEP5,-0.1955011787179523,0.0942448993121268,0.9809698376629776
SCZ_PGC3,mousebrain-zeisel2018,SCINH11,-0.220544807297071,0.1060749005845855,0.9811890383198976
SCZ_PGC3,mousebrain-zeisel2018,ACBG,-0.1643908932462701,0.0785561935529801,0.98180122667875
SCZ_PGC3,mousebrain-zeisel2018,MEINH14,-0.2747170833677487,0.1310993466565755,0.981927470690173
SCZ_PGC3,mousebrain-zeisel2018,EPEN,-0.1183581678606227,0.0549508048077671,0.984367461565658
SCZ_PGC3,mousebrain-zeisel2018,SYNOR5,-0.1964161582890045,0.0896104582456831,0.985798258399646
SCZ_PGC3,mousebrain-zeisel2018,ACTE1,-0.1631980235822119,0.0716141118789649,0.9886548115235746
SCZ_PGC3,mousebrain-zeisel2018,ACNT1,-0.1686148688819337,0.0724095361324661,0.9900537272458272
SCZ_PGC3,mousebrain-zeisel2018,ACMB,-0.1681750683840961,0.0668673961702322,0.9940438843887504
SCZ_PGC3,mousebrain-zeisel2018,CHOR,-0.1588247049910484,0.0621277198056964,0.9947071888302016
SCZ_PGC3,mousebrain-zeisel2018,EPSC,-0.1653881477099887,0.0642420597907503,0.9949751146369596
SCZ_PGC3,mousebrain-zeisel2018,ACTE2,-0.1813752135270553,0.0704431007428416,0.9949798074850084
SCZ_PGC3,mousebrain-zeisel2018,SYCHO1,-0.2563894281021822,0.0975649473794095,0.9956995645613532
SCZ_PGC3,mousebrain-zeisel2018,HYPEN,-0.2013508661034762,0.075184048236195,0.996293814663234
SCZ_PGC3,mousebrain-zeisel2018,ENTG5,-0.1955207486506955,0.062073942795289,0.9991814297770638
SCZ_PGC3,mousebrain-zeisel2018,ENMFB,-0.2516805736604761,0.0776879367037237,0.9994002295538408
SCZ_PGC3,mousebrain-zeisel2018,VECV,-0.2046399497051288,0.0613067614741762,0.999576962424923
